# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
5	ina	ina	ADP	PRP	_	6	case	6:case	i-na
6	mahrê	mahrû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	18	obl	18:obl	mah-re-e
7-8	palêya	_	_	_	_	_	_	_	_
7	palê	palû	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	6	case	6:case	BALA.MEŠ-ia
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	7:det	_
9	ša	ša	SCONJ	REL	_	14	mark	14:mark	ša
10	ina	ina	ADP	PRP	_	11	case	11:case	i-na
11	kussî	kussû	NOUN	N	Case=Gen|Gender=F|Nounbase=Bound|Number=Sg	14	obl	14:obl	GIŠ.GU.ZA
12	šarrūte	šarrūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	11	nmod:poss	11:nmod:poss	MAN-te
13	rabîš	rabîš	ADV	AV	_	14	advmod	14:advmod	ra-bi-iš
14	ūšibu	wašābu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Subordinative=Yes|Tense=Preterit|Verbstem=G	18	advcl	18:advcl	u₂-ši-bu
15	x	_	X	u	_	_	_	_	x
16	ṣābē	ṣābu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	18	nsubj	18:nsubj	_
17	Iausaya	Iausayu	PROPN	EN	Case=Undefined|Gender=M	16	nmod:poss	16:nmod:poss	{KUR}ia-u₂-sa-a-ia
18	ēliʾū	elû	VERB	V	Finiteness=Finite|Gender=Undefined|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=G	0	root	0:root	_

# sent_id = Q006013-3
# text = x ana emūq ramānišunu ittatkilū x-šunu ūbilū
1	x	_	X	u	_	_	_	_	x
2	ana	ana	ADP	PRP	_	3	case	3:case	a-na
3	emūq	emūqu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	6	obl	6:obl	e-mu-uq
4-5	ramānišunu	_	_	_	_	_	_	_	_
4	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	nmod:poss	3:nmod:poss	ra-ma-ni-šu-nu
5	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	4	det	4:det	_
6	ittatkilū	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=Ntn	0	root	0:root	_
7-8	x-šunu	_	_	_	_	_	_	_	_
7	x	_	NOUN	_	_	9	obj	9:obj	_
8	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	7	det	7:det	_
9	ūbilū	wabālu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=G	6	conj	6:conj	u₂-bi-ul

# sent_id = Q006013-4
# text = ina tukulti Aššur bēliya x narkabāti ummānīya adki
1	ina	ina	ADP	PRP	_	2	case	2:case	i-na
2	tukulti	tukultu	NOUN	N	Case=Gen|Gender=F|Nounbase=Bound|Number=Sg	10	obl	10:obl	{GIŠ}tukul-ti
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	2:nmod:poss	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	3:appos	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	4:det	_
6	x	_	X	u	_	_	_	_	x
7	narkabāti	narkabtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	10	obj	10:obj	GIŠ.GIGIR.MEŠ
8-9	ummānīya	_	_	_	_	_	_	_	_
8	ummānāti	ummānu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	7	conj	7:conj	ERIM.HI.A.MEŠ-ia
9	ya	_	PRON	_	Number=Sg|Person=1	8	det	8:det	_
10	adki	dekû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	_

# sent_id = Q006013-5
# text = ištu Ekal-pi-nari x maškanātešunu ahbut x dīktašunu maʾatta adūk
1	ištu	ištu	ADP	PRP	_	2	case	2:case	iš-tu
2	Ekal-pi-nari	Ekal-pi-nari	PROPN	SN	Case=Undefined|Gender=Undefined	6	obl	6:obl	URU.E₂.GAL-pi-i-ID₂
3	x	_	X	u	_	_	_	_	x
4-5	maškanātešunu	_	_	_	_	_	_	_	_
4	maškanāte	maškanu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	6	obj	6:obj	maš-kan-na-te.MEŠ-šu-nu
5	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	4	det	4:det	_
6	ahbut	habātu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ah-bu-ut
7	x	_	X	u	_	_	_	_	x
8-9	dīktašunu	_	_	_	_	_	_	_	_
8	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	11	obj	11:obj	di-ik-ta-šu-nu
9	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	8	det	8:det	_
10	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	8	amod	8:amod	ma-ʾa-at-ta
11	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	6	conj	6:conj	a-duk

# sent_id = Q006013-6
# text = sitātešunu uqatta
1-2	sitātešunu	_	_	_	_	_	_	_	_
1	sītāte	šittu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	3	obj	3:obj	si-ta-te-šu-nu
2	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	uqatta	qatû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Present|Verbstem=D	0	root	0:root	u₂-qa-at-ta

# sent_id = Q006013-7
# text = x alpīšunu ṣēnīšunu ana lā māni ašlul
1	x	_	X	u	_	_	_	_	x
2-3	alpīšunu	_	_	_	_	_	_	_	_
2	alpī	alpu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	8	obj	8:obj	GU₄.MEŠ-šu-nu
3	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	2:det	_
4-5	ṣēnīšunu	_	_	_	_	_	_	_	_
4	ṣēnī	ṣēnu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	2	conj	2:conj	ṣe-ni.MEŠ-šu-nu
5	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	4	det	4:det	_
6	ana	ana	ADP	PRP	_	7	case	7:case	a-na
7	lā māni	lā|mānu	ADJ	MOD|N	Case=Gen|Gender=M|Number=Sg	8	obl	8:obl	la-a|ma-ni
8	ašlul	šalālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	aš₂-lul

# sent_id = Q006013-8
# text = x ālānišunu mārīšunu ina išātāti ašrup
1	x	_	X	u	_	_	_	_	x
2-3	ālānišunu	_	_	_	_	_	_	_	_
2	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	8	obj	8:obj	URU.MEŠ-šu-nu
3	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	2:det	_
4-5	mārīšunu	_	_	_	_	_	_	_	_
4	mārī	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	2	conj	2:conj	DUMU.MEŠ-šu-nu
5	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	4	det	4:det	_
6	ina	ina	ADP	PRP	_	7	case	7:case	i-na
7	išātāti	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	8	obl	8:obl	_
8	ašrup	šarāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	aš₂-ru-up

# sent_id = Q006013-9
# text = šallassunu kabitta ištu libbi Arimi ušēli x
1-2	šallassunu	_	_	_	_	_	_	_	_
1	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	7	obj	7:obj	šal-la-su-nu
2	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	kabitta	kabtu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	1	amod	1:amod	ka-bit-ta
4	ištu	ištu	ADP	PRP	_	5	case	5:case	iš-tu
5	libbi	libbu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	7	obl	7:obl	ŠA₃
6	Arimi	Aramu	PROPN	EN	Case=Gen|Gender=Undefined	5	nmod:poss	5:nmod:poss	{KUR}a-ri-mi
7	ušēli	elû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=S	0	root	0:root	u₂-še-li
8	x	_	X	u	_	_	_	_	x

# sent_id = Q006013-10
# text = x ša ištu tarṣi Šalmanu-ašared šar māt Aššur abiya nišē māt Aššur x x u du’āki igmurūni
1	x	_	PROPN	u	_	0	root	0:root	x
2	ša	ša	PRON	REL	_	18	nsubj	18:nsubj	ša
3	ištu	ištu	ADP	PRP	_	4	case	4:case	iš-tu
4	tarṣi	tarṣu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	18	obl	18:obl	tar-ṣi
5	Šalmanu-ašared	_	PROPN	_	Case=Undefined|Gender=M	4	nmod:poss	4:nmod:poss	_
6	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	5	appos	5:appos	MAN
7	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	6	nmod:poss	6:nmod:poss	KUR
8	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	7	nmod:poss	7:nmod:poss	aš-šur
9-10	abiya	_	_	_	_	_	_	_	_
9	abi	abu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	5	appos	5:appos	AD-ia
10	ya	_	PRON	_	Number=Sg|Person=1	9	det	9:det	_
11	nišē	nišu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Undefined|Number=Pl	18	obj	18:obj	ni-še
12	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	11	nmod:poss	11:nmod:poss	KUR
13	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	12	nmod:poss	12:nmod:poss	aš-šur
14	x	_	ADP	u	_	15	case	15:case	x
15	x	_	NOUN	u	_	18	obl	18:obl	x
16	u	u	CCONJ	CNJ	_	17	cc	17:cc	u₃
17	du’āki	_	VERB	_	Case=Gen|Finiteness=Infinitive|Gender=M|Nounbase=Free|Number=Sg|Verbstem=G	15	conj	15:conj	_
18	igmurūni	gamāru	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	1	acl:relcl	1:acl:relcl	ig-mu-ru-u₂-ni

# sent_id = Q006013-11
# text = kullat mārīšunu mārātišunu
1	kullat	kullatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	kul-lat
2-3	mārīšunu	_	_	_	_	_	_	_	_
2	mārī	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	1	nmod:poss	1:nmod:poss	DUMU.MEŠ-šu-nu
3	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	2:det	_
4-5	mārātišunu	_	_	_	_	_	_	_	_
4	mārāti	mārtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	2	conj	2:conj	DUMU.MUNUS.MEŠ-šu-nu
5	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	4	det	4:det	_

# sent_id = Q006013-12
# text = ana kaspī ipšurūni ina siqir Aššur bēliya ana hubtāni lū ahtabta
1	ana	ana	ADP	PRP	_	2	case	2:case	a-na
2	kaspī	kaspu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	3	obl	3:obl	KU₃.BABBAR.MEŠ
3	ipšurūni	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	12	advcl	12:advcl	_
4	ina	ina	ADP	PRP	_	5	case	5:case	i-na
5	siqir	zikru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	obl	12:obl	si-qir
6	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	5	nmod:poss	5:nmod:poss	aš-šur
7-8	bēliya	_	_	_	_	_	_	_	_
7	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	6	appos	6:appos	EN-ia
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	7:det	_
9	ana	ana	ADP	PRP	_	10	case	10:case	a-na
10	hubtāni	hubtu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	12	obl	12:obl	hu-ub-ta-ni
11	lū	lū	PART	MOD	_	12	advmod:emph	12:advmod:emph	lu
12	ahtabta	habātu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Perfect|Ventive=Yes|Verbstem=G	0	root	0:root	ah-tab-ta

# sent_id = Q006013-13
# text = dīktašunu maʾatta lū adūk šallassunu būšīšunu makkūršunu alpīšunu ṣēnīšunu ašlula ana āliya Aššur ubla
1-2	dīktašunu	_	_	_	_	_	_	_	_
1	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	5	obj	5:obj	di-ik-ta-šu₂-nu
2	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	1	amod	1:amod	ma-ʾa-ta
4	lū	lū	PART	MOD	_	5	advmod:emph	5:advmod:emph	lu
5	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk
6-7	šallassunu	_	_	_	_	_	_	_	_
6	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	16	obj	16:obj	šal-la-su-nu
7	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	6	det	6:det	_
8-9	būšīšunu	_	_	_	_	_	_	_	_
8	būšī	būšu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	6	conj	6:conj	NIG₂.ŠU.MEŠ-šu-nu
9	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	8	det	8:det	_
10-11	makkūršunu	_	_	_	_	_	_	_	_
10	makkūr	makkūru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	6	conj	6:conj	NIG₂.GA-šu₂-nu
11	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	10	det	10:det	_
12-13	alpīšunu	_	_	_	_	_	_	_	_
12	alpī	alpu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	6	conj	6:conj	GU₄.MEŠ-šu₂-nu
13	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	12	det	12:det	_
14-15	ṣēnīšunu	_	_	_	_	_	_	_	_
14	ṣēnī	ṣēnu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	6	conj	6:conj	ṣe-ni.MEŠ-šu-nu
15	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	14	det	14:det	_
16	ašlula	šalālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	5	conj	5:conj	aš₂-lu-la
17	ana	ana	ADP	PRP	_	18	case	18:case	a-na
18-19	āliya	_	_	_	_	_	_	_	_
18	āli	ālu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	21	obl	21:obl	URU-ia
19	ya	_	PRON	_	Number=Sg|Person=1	18	det	18:det	_
20	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	18	appos	18:appos	aš-šur
21	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	5	conj	5:conj	ub-la

# sent_id = Q006013-14
# text = x-li Ruqahu Zaba ša {KUR}x-x
1	x-li	_	X	u	_	_	_	_	x-li
2	Ruqahu	Ruqahu	PROPN	GN	Case=Undefined|Gender=Undefined	0	root	0:root	{KUR}ru-qa-hu
3	Zaba	Zab	PROPN	WN	Case=Undefined|Gender=Undefined	2	conj	2:conj	{ID₂}za-ba
4	ša	ša	ADP	DET	_	5	case	5:case	ša
5	{KUR}x-x	_	PROPN	u	_	3	nmod	3:nmod	{KUR}x-x

# sent_id = Q006013-15
# text = x Iahanu Arumu ša kutal Pi-x
1	x	_	X	u	_	_	_	_	x
2	Iahanu	Iahanu	PROPN	GN	Case=Nom|Gender=Undefined	0	root	0:root	{KUR}ia-ha-a-nu
3	Arumu	Aramu	PROPN	EN	Case=Nom|Gender=M	2	conj	2:conj	{KUR}a-ru-mu
4	ša	ša	ADP	REL	_	5	case	5:case	ša
5	kutal	kutallu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	3	nmod	3:nmod	ku-tal
6	Pi-x	Pi-x	PROPN	GN	_	5	nmod:poss	5:nmod:poss	{KUR}pi-x-x

# sent_id = Q006013-16
# text = x ša ištu tarṣi Aššur-rabi šar māt Aššur abiya
1	x	_	X	u	_	_	_	_	x
2	ša	ša	PRON	REL	_	_	_	_	ša
3	ištu	ištu	ADP	PRP	_	4	case	4:case	iš-tu
4	tarṣi	tarṣu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	0	root	0:root	tar-ṣi
5	Aššur-rabi	Aššur-rabi_II	PROPN	RN	Case=Undefined|Gender=M	4	nmod:poss	4:nmod:poss	{m}aš-šur-GAL-bi
6	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	5	appos	5:appos	MAN
7	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	6	nmod:poss	6:nmod:poss	KUR
8	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	7	nmod:poss	7:nmod:poss	aš-šur
9-10	abiya	_	_	_	_	_	_	_	_
9	abi	abu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	5	appos	5:appos	AD-ia
10	ya	_	PRON	_	Number=Sg|Person=1	9	det	9:det	_

# sent_id = Q006013-17
# text = ālāni ša šiddi mātiya x ana ramānišunu uṣabbitūni
1	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	10	obj	10:obj	URU.MEŠ-ni
2	ša	ša	ADP	DET	_	3	case	3:case	ša
3	šiddi	šiddu	NOUN	N	Case=Gen|Gender=M|Nounbase=Bound|Number=Sg	1	nmod	1:nmod	_
4-5	mātiya	_	_	_	_	_	_	_	_
4	māti	mātu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	3	nmod:poss	3:nmod:poss	KUR-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	4:det	_
6	x	_	X	u	_	_	_	_	x
7	ana	ana	ADP	PRP	_	8	case	8:case	a-na
8-9	ramānišunu	_	_	_	_	_	_	_	_
8	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	10	obl	10:obl	ra-ma-ni-šu-nu
9	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	8	det	8:det	_
10	uṣabbitūni	ṣabātu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=D	0	root	0:root	u₂-ṣab-bi-tu-u₂-ni

# sent_id = Q006013-18
